chain,address,exchange,name_tag,confidence,source
BTC,12T8i8tpeczk5JGf8ppZf1w6SFBRwEa9y4,CoinDCX,CoinDCX 1,single-source,dune-spellbook
BTC,12hGEyxk4zMLquxiMiFrkvYSohsXz2D3uZ,CoinDCX,CoinDCX 2,single-source,dune-spellbook
BTC,1477uXZ1NfUaaZZdnztQ7h8ftGRpuWQPfA,CoinDCX,CoinDCX 3,single-source,dune-spellbook
BTC,17mxRZ9WeXigSwg3Cm62HxeATnuUphMxGL,CoinDCX,CoinDCX 4,single-source,dune-spellbook
BTC,1CJ7XmM3C72i5qDgEJAkzWq5VDJ51gbdLR,CoinDCX,CoinDCX 25,single-source,dune-spellbook
BTC,1F6CrpEnHEZh6gQtJ7cf1MtK7Y8GYKoP4i,CoinDCX,CoinDCX 5,single-source,dune-spellbook
BTC,1HLkxeuEDCFMbKGCzXR1uAdMJgjJcpNs2H,CoinDCX,CoinDCX 26,single-source,dune-spellbook
BTC,1JV3umtGC6H6tFUVoFyV5KwbJDscUwrtX7,CoinDCX,CoinDCX 6,single-source,dune-spellbook
BTC,1KXxS6QnzpB8mSLm5kmXJXqvZF7wVvQDCw,CoinDCX,CoinDCX 7,single-source,dune-spellbook
BTC,1MzSJodjNmACPKyj9VUv9X55Pby87osLhc,CoinDCX,CoinDCX 8,single-source,dune-spellbook
BTC,1PRwacjHVksLNTkSYNkiWkRgTm1yDSgLMG,CoinDCX,CoinDCX 9,single-source,dune-spellbook
BTC,1avi3SkWKGLis8dGCP9JUnFfVeheP8wkt,CoinDCX,CoinDCX 10,single-source,dune-spellbook
BTC,3Dm2TL1pt1VzeBCq9jgvQG81QPv19PyReh,CoinDCX,CoinDCX 11,single-source,dune-spellbook
BTC,bc1q7c9ylgjsyc0yaxwm84jjh6avfajzfe7dhk6e0e,CoinDCX,CoinDCX 12,single-source,dune-spellbook
BTC,bc1qedxsgzuj8ga644gwlqw4nw7f3xncq4g2rskmzu,CoinDCX,CoinDCX 13,single-source,dune-spellbook
BTC,bc1qffg4ya27430vv5ymg2lhf4mj7tvtc3ur5qyyq3,CoinDCX,CoinDCX 14,single-source,dune-spellbook
BTC,bc1qhlyrdhfqry06nj902p9dxdftm4pxkhdqeum8y8,CoinDCX,CoinDCX 15,single-source,dune-spellbook
BTC,bc1qljm7vwdgdy6ca97stsyjyl3zdjtkdsdm8vnh8f,CoinDCX,CoinDCX 16,single-source,dune-spellbook
BTC,bc1qmulc2ju4kykj24xuw0fu73h9h3usa897xhaucz,CoinDCX,CoinDCX 17,single-source,dune-spellbook
BTC,bc1qn2xm6agnanuyuwfcfw92el7nvt2lpsqr5s5c0w,CoinDCX,CoinDCX 18,single-source,dune-spellbook
BTC,bc1qpl5kqjkugyncr72a4fhxvm0360ehfdl27e00ja,CoinDCX,CoinDCX 19,single-source,dune-spellbook
BTC,bc1qqe4g7sjxzk90nsgj0mwufwcdtd7kufg7k32xch,CoinDCX,CoinDCX 20,single-source,dune-spellbook
BTC,bc1qqhwh3tcg5duwq7hdlnlr5n2tg2uq755cwmkjqn,CoinDCX,CoinDCX 21,single-source,dune-spellbook
BTC,bc1qucl4n347qc6e48w85xdxcv86sm3an8fr250hhm,CoinDCX,CoinDCX 22,single-source,dune-spellbook
BTC,bc1qygg2x02cfy0e6r7798v4qrcjjkzm8tl5t0xkwf,CoinDCX,CoinDCX 23,single-source,dune-spellbook
BTC,bc1qz22hegkllltcydg3pz3an6h352mjmyp7n2vhd9,CoinDCX,CoinDCX 24,single-source,dune-spellbook
EVM,0x06051836ac6c5112b890f8b6ec78e33d1afeae7c,CoinDCX,CoinDCX 28,confirmed,etherscan public tag + dune-spellbook
EVM,0x07e114c06462d8892ae4574a7502b8c1c0fbdfbb,CoinDCX,CoinDCX 29,single-source,dune-spellbook
EVM,0x0b5ffae844a4b21c7beeded2595f22215288173c,CoinDCX,CoinDCX 30,single-source,dune-spellbook
EVM,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,CoinDCX,CoinDCX 38,single-source,dune-spellbook
EVM,0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,CoinDCX,CoinDCX 43,confirmed,etherscan public tag + dune-spellbook
EVM,0x274c427b1bf0bb4a137ede688c6d621263ca7ce8,CoinDCX,CoinDCX 26,confirmed,etherscan public tag + dune-spellbook
EVM,0x29a62a542b6ea441abb6f03c2bca54ad72ff750c,CoinDCX,CoinDCX 27,confirmed,etherscan public tag + dune-spellbook
EVM,0x2deffdde0867b6eca9a63fe53ef0fc3106d3dba0,CoinDCX,CoinDCX Gas Supplier 3,single-source,dune-spellbook
EVM,0x2e5129e77c928d96b5a70c0effb97ee6e95d77b6,CoinDCX,CoinDCX 1,confirmed,etherscan public tag + dune-spellbook
